"ID","ISDELETED","NAME","CREATEDDATE","CREATEDBYID","LASTMODIFIEDDATE","LASTMODIFIEDBYID","SYSTEMMODSTAMP","PROJECT__C","DESCRIPTION__C","CATEGORY__C","PROJECT_BUDGET_EXTERNAL_ID__C","COSTS__C"
"a00J0000004kVaZIAU","false","PB-012245","2013-07-08T07:28:38.000Z","005J00000018K40IAE","2013-07-29T12:50:18.000Z","005J00000018K40IAE","2013-07-29T12:50:18.000Z","a01J000000VNEyRIAX","Kosten voor de geleasde internetconnectie op Tsedale Nega College","","12158","450.0"
"a00J0000004kVaaIAE","false","PB-012294","2013-07-08T07:29:18.000Z","005J00000018K40IAE","2013-07-29T12:50:18.000Z","005J00000018K40IAE","2013-07-29T12:50:18.000Z","a01J000000VNFovIAH","Inrichting van het Centrum voor Vrouwen en lesmateriaal plus oliepers en wateropvang d.m.v. de bouw van een reservoir en het aanleggen van pijpleidingen.","","153","4685.0"
"a00J0000004kVabIAE","false","PB-012297","2013-07-08T07:29:21.000Z","005J00000018K40IAE","2013-07-29T12:50:18.000Z","005J00000018K40IAE","2013-07-29T12:50:18.000Z","a01J000000VNEufIAH","Het geld is nodig voor de inrichting van  de ateliers; voor de aanschaf machines, meubels en ander materiaal.","","158","3172.0"
"a00J0000004kVacIAE","false","PB-012377","2013-07-08T07:30:34.000Z","005J00000018K40IAE","2013-07-29T12:50:18.000Z","005J00000018K40IAE","2013-07-29T12:50:18.000Z","a01J000000VNFAUIA5","Double Decker beds x 5 @ 111,11","","36752","556.0"
"a00J0000004kVadIAE","false","PB-012241","2013-07-08T07:28:35.000Z","005J00000018K40IAE","2013-07-29T12:50:18.000Z","005J00000018K40IAE","2013-07-29T12:50:18.000Z","a01J000000VNFYEIA5","onderwijzersstoel 4 * 30","","8197","120.0"
"a00J0000004kVaeIAE","false","PB-012265","2013-07-08T07:28:54.000Z","005J00000018K40IAE","2013-07-29T12:50:18.000Z","005J00000018K40IAE","2013-07-29T12:50:18.000Z","a01J000000VNFY1IAP","Kumnandi Marketing Support
Banner (1x)","","30042","50.0"
"a00J0000004kVafIAE","false","PB-012299","2013-07-08T07:29:22.000Z","005J00000018K40IAE","2013-07-29T12:50:18.000Z","005J00000018K40IAE","2013-07-29T12:50:18.000Z","a01J000000VNFXGIA5","1 tollfree number Vodafone voor radio maendeleo (die als 'hub' fungeert voor de andere stations)","","40538","4200.0"
"a00J0000004kVagIAE","false","PB-012332","2013-07-08T07:29:48.000Z","005J00000018K40IAE","2013-07-29T12:50:18.000Z","005J00000018K40IAE","2013-07-29T12:50:18.000Z","a01J000000VNFpuIAH","Begeleiding door de programmaleider incl reiskosten","","16737","210.0"
"a00J0000004kVahIAE","false","PB-012335","2013-07-08T07:29:51.000Z","005J00000018K40IAE","2013-07-29T12:50:18.000Z","005J00000018K40IAE","2013-07-29T12:50:18.000Z","a01J000000VNEtiIAH","Cement","","14034","386.0"
"a00J0000004kVaiIAE","false","PB-012242","2013-07-08T07:28:35.000Z","005J00000018K40IAE","2013-07-29T12:50:18.000Z","005J00000018K40IAE","2013-07-29T12:50:18.000Z","a01J000000VNFYEIA5","transport JHB-Maseru","","8198","500.0"
